"row_id","mass"
1,100790000000000
2,102910000000000
3,109020000000000
4,125630000000000
5,137830000000000
6,165600000000000
7,169220000000000
8,110310000000000
9,111600000000000
10,118940000000000
11,107800000000000
12,113310000000000
13,117110000000000
14,149740000000000
15,102110000000000
16,102270000000000
17,105070000000000
18,107160000000000
19,156760000000000
20,177270000000000
21,102160000000000
22,102200000000000
23,107030000000000
24,104230000000000
25,137490000000000
26,174570000000000
27,108200000000000
28,113310000000000
29,132150000000000
30,156380000000000
31,101020000000000
32,104720000000000
33,115380000000000
34,116320000000000
35,321330000000000
36,101690000000000
37,101780000000000
38,103750000000000
39,115330000000000
40,101770000000000
41,114580000000000
42,124740000000000
43,125080000000000
44,159770000000000
